IdCliente,IdCiudad,Nombre,Apellido,FechaNacimiento,EstadoCivil,Genero,Email,IngresoAnual,TotalHijos,Educacion,Ocupacion,Propietario,CantAutomoviles,Direccion,Telefono,FechaPrimeraCompra,Distancia,Region,Edad,ComproBicicleta
14209,5,Craig,Ramos,09/04/1975,C,M,craig16@mineriadedatos.com.ar,60000,0,Licenciatura,Profesional,1,4,'8932 Condor Place','500 555-0196',25/08/2007,'10+ Km.',Sur,38,0
14565,343,Natalie,Hernandez,01/04/1969,S,F,natalie61@mineriadedatos.com.ar,50000,2,Licenciatura,'Obrero especializado',1,0,'1885 Riverside Drive',921-555-0171,06/08/2005,'2-5 Km.',Norte,44,1
15292,553,Megan,Bailey,17/06/1971,S,F,megan36@mineriadedatos.com.ar,60000,1,'Estudios de postgrado','Obrero especializado',1,0,'4098 Woodcrest Dr.',885-555-0193,06/04/2008,'1-2 Km.',Norte,41,0
27005,216,Susan,Lin,17/02/1971,S,F,susan17@mineriadedatos.com.ar,30000,0,'Educación secundaria',Obrero,0,1,'268  avenue de l´Centro','500 555-0111',31/01/2008,'2-5 Km.',Centro,42,1
22603,189,Autumn,He,04/09/1970,S,F,autumn18@mineriadedatos.com.ar,10000,2,'Educación secundaria',Obrero,1,0,'242  avenue de la Gare','500 555-0182',28/02/2008,'0-1 Km.',Centro,42,1
23773,179,Jon,Cai,06/01/1971,C,M,jon41@mineriadedatos.com.ar,20000,0,'Educación secundaria (en curso)',Obrero,1,2,'1812  avenue de l´Centro','500 555-0180',02/10/2007,'1-2 Km.',Centro,42,0
16875,312,Samantha,Diaz,27/02/1935,C,F,samantha44@mineriadedatos.com.ar,90000,4,Licenciatura,Gestión,1,2,'3956 Stonedale',125-555-0113,26/12/2007,'5-10 Km.',Norte,78,0
22327,612,Jake,Cai,20/11/1974,S,M,jake19@mineriadedatos.com.ar,40000,3,'Estudios universitarios (en curso)',Administrativo,1,2,'5415 Beechwood Dr.',354-555-0116,20/08/2007,'1-2 Km.',Norte,38,1
23998,29,Arturo,Raji,26/05/1978,C,M,arturo45@mineriadedatos.com.ar,10000,0,'Estudios universitarios (en curso)',Obrero,1,1,'5855 W. Cypress Road','500 555-0192',08/03/2007,'2-5 Km.',Sur,34,1
19768,310,Christopher,Jackson,16/10/1980,S,M,christopher12@mineriadedatos.com.ar,40000,0,'Educación secundaria (en curso)',Administrativo,0,2,'5378 Kentucky Drive',178-555-0116,23/10/2007,'1-2 Km.',Norte,32,1
18348,361,Katelyn,Roberts,02/11/1974,S,F,katelyn27@mineriadedatos.com.ar,30000,0,'Estudios universitarios (en curso)','Obrero especializado',0,1,'5566 Banyan Circle',921-555-0142,29/08/2007,'1-2 Km.',Norte,38,0
19275,183,Gregory,Rai,21/12/1961,C,M,gregory21@mineriadedatos.com.ar,20000,1,'Estudios universitarios (en curso)',Obrero,1,0,Midi-Couleurs,'500 555-0112',27/09/2007,'1-2 Km.',Centro,51,0
