IdCiudad,Nombre,Apellido,FechaNacimiento,EstadoCivil,Genero,Email,IngresoAnual,TotalHijos,CantHijosEnCasa,Educacion,Ocupacion,Propietario,CantAutomoviles,Direccion,Telefono,Distancia,Region,Edad
184,Ashlee,Xie,1970-01-27,S,F,ashlee10@mineriadedatos.com.ar,10000,1,1,'Educación secundaria',Obrero,0,2,'92  rue Ste-Honoré','500 555-0159','0-1 Km.',Centro,43
383,Marcus,Campbell,1980-05-23,S,M,marcus44@mineriadedatos.com.ar,100000,3,0,Licenciatura,Gestión,1,3,'8819 Camino Norte',911-555-0178,'2-5 Km.',Norte,32
220,Monique,Vazquez,1979-02-16,C,F,monique11@mineriadedatos.com.ar,20000,4,4,'Educación secundaria',Obrero,1,2,'2  rue Lafayette','500 555-0129','0-1 Km.',Centro,34
311,Adriana,Malhotra,1965-04-24,C,F,adriana5@mineriadedatos.com.ar,80000,3,3,Licenciatura,'Obrero especializado',1,3,'1944 Serene Court',911-555-0122,'10+ Km.',Norte,48
258,Johnny,Goel,1937-12-02,C,M,johnny21@mineriadedatos.com.ar,30000,1,0,'Estudios de postgrado',Administrativo,1,0,'5869 Clayton Road','500 555-0155','0-1 Km.',Centro,75
10,Corey,Lal,1947-12-13,C,M,corey8@mineriadedatos.com.ar,20000,4,0,'Educación secundaria','Obrero especializado',1,2,'9161 Viking Drive','500 555-0194','5-10 Km.',Sur,65
203,Omar,Goel,1951-12-10,C,M,omar40@mineriadedatos.com.ar,80000,4,1,'Educación secundaria',Profesional,1,3,'1  avenue des Champs-Elysées','500 555-0134','10+ Km.',Centro,61
155,Christian,Long,1980-03-10,S,M,christian24@mineriadedatos.com.ar,20000,0,0,'Educación secundaria (en curso)',Obrero,1,2,'Heidestieg Straße 8664','500 555-0111','1-2 Km.',Centro,33
205,Ronnie,Wagner,1943-05-14,S,M,ronnie1@mineriadedatos.com.ar,10000,3,0,'Estudios universitarios (en curso)',Obrero,1,1,'49  rue Royale','500 555-0152','1-2 Km.',Centro,70
32,Daisy,Navarro,1957-04-24,S,F,daisy6@mineriadedatos.com.ar,70000,2,0,'Educación secundaria','Obrero especializado',0,2,'7427 Grove Way','500 555-0120','1-2 Km.',Sur,56
553,Hunter,Li,1958-12-06,S,M,hunter21@mineriadedatos.com.ar,60000,1,0,Licenciatura,Profesional,1,1,'2612 Berry Dr',402-555-0113,'2-5 Km.',Norte,54
177,Ebony,Martinez,1965-10-05,S,F,ebony18@mineriadedatos.com.ar,20000,2,2,'Educación secundaria',Obrero,1,0,'Heideweg 1442','500 555-0165','0-1 Km.',Centro,47
244,Derrick,Moreno,1972-06-13,S,M,derrick6@mineriadedatos.com.ar,30000,0,0,'Educación secundaria',Obrero,0,1,'8942 Sierra Road','500 555-0195','1-2 Km.',Centro,40
162,Katie,Becker,1972-07-23,C,F,katie23@mineriadedatos.com.ar,40000,2,2,'Estudios universitarios (en curso)',Administrativo,1,0,'Husemann Straße 2464','500 555-0140','1-2 Km.',Centro,40
273,Isabel,Bradley,1965-02-14,C,F,isabel1@mineriadedatos.com.ar,30000,1,1,Licenciatura,'Obrero especializado',1,2,'2340 Jill Ave','500 555-0142','0-1 Km.',Centro,48
32,Brendan,Andersen,1976-06-17,S,M,brendan11@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,3,'9119 Near Drive','500 555-0110','10+ Km.',Sur,36
300,Ariana,Kelly,1949-03-02,C,F,ariana2@mineriadedatos.com.ar,60000,2,1,Licenciatura,Gestión,0,0,'6404 West Slough Rd',366-555-0128,'2-5 Km.',Norte,64
307,Patricia,Rodriguez,1965-09-08,S,F,patricia21@mineriadedatos.com.ar,40000,0,0,Licenciatura,Profesional,1,1,'417 Silver Oak Pl',152-555-0182,'2-5 Km.',Norte,47
9,Jay,Martin,1967-09-25,C,M,jay29@mineriadedatos.com.ar,90000,4,4,Licenciatura,Profesional,1,0,'8384 Potomac Drive','500 555-0160','0-1 Km.',Sur,45
338,Amanda,Ramirez,1980-10-22,S,F,amanda16@mineriadedatos.com.ar,20000,0,0,'Estudios universitarios (en curso)','Obrero especializado',0,2,'1 Smiling Tree Court',486-555-0148,'1-2 Km.',Norte,32
7,Kaitlin,McDonald,1958-09-03,C,F,kaitlin14@mineriadedatos.com.ar,100000,1,1,Licenciatura,Gestión,1,3,'3543 Lori Dr.','500 555-0134','2-5 Km.',Sur,54
39,Darryl,Liu,1975-05-26,S,M,darryl4@mineriadedatos.com.ar,70000,0,0,Licenciatura,Profesional,0,2,'4404 Mildred Avenue','500 555-0157','5-10 Km.',Sur,37
40,Frank,Ruiz,1953-12-10,S,M,frank32@mineriadedatos.com.ar,40000,3,0,'Estudios universitarios (en curso)','Obrero especializado',1,2,'330 Jamie Way','500 555-0164','5-10 Km.',Sur,59
36,Jake,Lin,1947-10-05,S,M,jake8@mineriadedatos.com.ar,20000,4,0,'Educación secundaria','Obrero especializado',0,2,'3567 Sierra Street','500 555-0155','1-2 Km.',Sur,65
